iter	Passed	Remaining
701	51915	22038
702	52003	21970
703	52087	21900
704	52172	21831
705	52237	21753
706	52322	21683
707	52409	21615
708	52520	21556
709	52614	21490
710	52692	21417
711	52776	21347
712	52878	21284
713	52961	21214
714	53144	21183
715	53358	21164
716	53517	21123
717	53659	21075
718	53756	21009
719	53881	20954
720	54028	20907
721	54174	20859
722	54256	20787
723	54332	20712
724	54424	20643
725	54503	20570
726	54596	20501
727	54677	20429
728	54761	20357
729	54856	20289
730	55015	20245
731	55090	20169
732	55162	20093
733	55255	20024
734	55344	19954
735	55434	19884
736	55517	19811
737	55588	19734
738	55649	19654
739	55715	19575
740	55779	19496
741	55846	19418
742	55910	19339
743	55988	19264
744	56056	19187
745	56126	19109
746	56202	19035
747	56277	18959
748	56349	18883
749	56429	18809
750	56511	18736
751	56579	18659
752	56660	18585
753	56736	18510
754	56830	18441
755	56913	18368
756	57001	18297
757	57088	18226
758	57184	18157
759	57272	18085
760	57339	18007
761	57406	17930
762	57487	17856
763	57564	17781
764	57640	17706
765	57712	17630
766	57788	17555
767	57875	17483
768	57944	17405
769	58015	17329
770	58089	17253
771	58167	17179
772	58247	17104
773	58326	17030
774	58396	16953
775	58479	16880
776	58574	16811
777	58649	16735
778	58735	16662
779	58836	16595
780	58912	16519
781	58984	16443
782	59053	16365
783	59129	16290
784	59211	16217
785	59290	16142
786	59369	16068
787	59441	15991
788	59509	15914
789	59588	15840
790	59682	15769
791	59758	15694
792	59843	15621
793	59923	15546
794	60015	15475
795	60095	15401
796	60197	15332
797	60272	15256
798	60360	15184
799	60451	15112
800	60545	15041
801	60640	14971
802	60726	14897
803	60794	14820
804	60858	14742
805	60940	14668
806	61006	14590
807	61075	14513
808	61139	14434
809	61196	14354
810	61263	14277
811	61331	14199
812	61394	14121
813	61460	14043
814	61533	13967
815	61605	13891
816	61660	13811
817	61735	13735
818	61799	13657
819	61861	13579
820	61934	13503
821	62010	13428
822	62080	13351
823	62148	13274
824	62208	13195
825	62276	13118
826	62346	13042
827	62419	12966
828	62497	12891
829	62563	12814
830	62634	12737
831	62708	12662
832	62783	12586
833	62855	12510
834	62931	12435
835	63007	12360
836	63077	12283
837	63152	12208
838	63242	12136
839	63309	12058
840	63384	11983
841	63456	11907
842	63532	11832
843	63614	11758
844	63683	11681
845	63761	11606
846	63834	11530
847	63918	11457
848	64000	11382
849	64078	11307
850	64144	11230
851	64217	11155
852	64289	11079
853	64361	11003
854	64441	10928
855	64516	10853
856	64581	10776
857	64656	10700
858	64733	10625
859	64808	10550
860	64880	10474
861	64942	10396
862	65005	10319
863	65069	10242
864	65140	10166
865	65223	10092
866	65293	10016
867	65359	9939
868	65435	9864
869	65529	9791
870	65594	9714
871	65664	9638
872	65750	9565
873	65825	9489
874	65896	9413
875	65976	9339
